Sate,Manhathan States,Manhatan Moves,Missplaced States,Missplaced Moves
247803615,290,20,6036,20
013428765,27,8,39,8
432061578,3797,23,21626,23
412867530,170,16,823,16
127853406,330,17,1633,17
823705641,1359,22,14718,22
413726508,16,7,19,7
243781056,104,14,390,14
162073548,58,11,108,11
306142758,23,9,47,9
041732856,35,12,109,12
536028417,131,15,578,15
536421780,234,16,953,16
120463758,10,4,10,4
136428075,16,8,28,8
541382706,58,13,220,13
847105263,5516,26,61874,26
412073856,25,9,41,9
723618540,134,16,795,16
431520786,66,11,124,11
523180476,59,11,133,11
263018475,32,11,108,11
243850176,35,11,100,11
265430718,218,15,673,15
123684750,157,14,467,14
581437062,648,22,11273,22
503418762,173,15,663,15
123856407,48,9,67,9
123740586,19,7,29,7
052148763,26,10,69,10
082146753,137,14,394,14
213580764,423,17,1765,17
413206758,18,6,20,6
630178425,666,20,5322,20
738216045,3581,24,27757,24
123468705,12,5,18,5
203416578,309,15,748,15
715084326,728,21,8493,21
236548170,112,14,367,14
036142758,21,8,30,8
526480731,1538,21,9107,21
216485730,637,18,2383,18
123056478,7,3,7,3
163458072,333,16,1032,16
465230178,362,17,1605,17
152743086,13,6,13,6
865320417,4406,25,42054,25
628150437,102,17,1305,17
502746318,175,17,1431,17
630412758,561,18,2454,18
